285086 imgs, 9169 classes, dev=cuda
class set changed (9170->9169); resuming backbone only, fresh head
resumed from model.pt
ep15 it1100/2005 loss 1.008
ep15 it1150/2005 loss 0.749
ep15 it1200/2005 loss 1.058
ep15 it1250/2005 loss 1.210
ep15 it1300/2005 loss 1.202
ep15 it1350/2005 loss 0.856
ep15 it1400/2005 loss 1.018
ep15 it1450/2005 loss 1.052
ep15 it1500/2005 loss 0.923
ep15 it1550/2005 loss 0.967
ep15 it1600/2005 loss 1.033
ep15 it1650/2005 loss 0.962
ep15 it1700/2005 loss 0.927
ep15 it1750/2005 loss 1.035
ep15 it1800/2005 loss 0.987
ep15 it1850/2005 loss 0.995
ep15 it1900/2005 loss 0.923
ep15 it1950/2005 loss 0.968
ep15 it2000/2005 loss 0.783
== epoch 15: val acc 0.492
ep16 it0/2005 loss 0.870
ep16 it50/2005 loss 0.740
ep16 it100/2005 loss 0.937
ep16 it150/2005 loss 0.795
ep16 it200/2005 loss 1.021
ep16 it250/2005 loss 0.890
ep16 it300/2005 loss 0.810
ep16 it350/2005 loss 0.810
ep16 it400/2005 loss 0.770
ep16 it450/2005 loss 0.940
ep16 it500/2005 loss 0.648
ep16 it550/2005 loss 0.659
ep16 it600/2005 loss 0.837
ep16 it650/2005 loss 0.860
ep16 it700/2005 loss 0.826
ep16 it750/2005 loss 0.967
ep16 it800/2005 loss 0.868
ep16 it850/2005 loss 0.879
ep16 it900/2005 loss 0.814
ep16 it950/2005 loss 0.698
ep16 it1000/2005 loss 0.905
ep16 it1050/2005 loss 1.179
ep16 it1100/2005 loss 0.784
ep16 it1150/2005 loss 0.926
ep16 it1200/2005 loss 0.924
ep16 it1250/2005 loss 1.118
ep16 it1300/2005 loss 1.000
ep16 it1350/2005 loss 0.948
ep16 it1400/2005 loss 0.786
ep16 it1450/2005 loss 1.219
ep16 it1500/2005 loss 0.954
ep16 it1550/2005 loss 0.912
ep16 it1600/2005 loss 0.949
ep16 it1650/2005 loss 0.890
ep16 it1700/2005 loss 1.036
ep16 it1750/2005 loss 0.969
ep16 it1800/2005 loss 0.766
ep16 it1850/2005 loss 0.886
ep16 it1900/2005 loss 0.822
ep16 it1950/2005 loss 0.794
ep16 it2000/2005 loss 0.780
== epoch 16: val acc 0.490
ep17 it0/2005 loss 0.575
ep17 it50/2005 loss 1.032
ep17 it100/2005 loss 0.849
ep17 it150/2005 loss 0.651
ep17 it200/2005 loss 0.916
ep17 it250/2005 loss 0.765
ep17 it300/2005 loss 0.937
ep17 it350/2005 loss 0.865
ep17 it400/2005 loss 0.732
ep17 it450/2005 loss 0.903
ep17 it500/2005 loss 0.989
ep17 it550/2005 loss 0.744
ep17 it600/2005 loss 1.050
ep17 it650/2005 loss 0.600
ep17 it700/2005 loss 0.575
ep17 it750/2005 loss 0.802
ep17 it800/2005 loss 1.056
ep17 it850/2005 loss 0.841
ep17 it900/2005 loss 0.859
ep17 it950/2005 loss 0.951
ep17 it1000/2005 loss 1.046
ep17 it1050/2005 loss 0.778
ep17 it1100/2005 loss 0.733
ep17 it1150/2005 loss 0.912
ep17 it1200/2005 loss 0.877
ep17 it1250/2005 loss 1.018
ep17 it1300/2005 loss 0.996
ep17 it1350/2005 loss 0.968
ep17 it1400/2005 loss 0.866
ep17 it1450/2005 loss 0.722
ep17 it1500/2005 loss 1.068
ep17 it1550/2005 loss 0.775
